name;stars;age_days;prs;releases;update_days;language;issues_ratio
pathwaycom/pathway;59497;1195;19;84;1;Python;80.71%
shadowsocks/shadowsocks-windows;59269;4799;290;55;429;C#;93.55%
meta-llama/llama;59198;1116;54;0;403;Python;58.63%
Solido/awesome-flutter;59180;3225;448;0;22;Dart;0.00%
topjohnwu/Magisk;59082;3466;1688;156;1;Rust;99.40%
Asabeneh/30-Days-Of-Python;59075;2298;137;0;2;Python;59.15%
angular/angular.js;58923;5903;790;0;692;JavaScript;95.69%
cline/cline;58691;608;3248;239;0;TypeScript;85.18%
PlexPt/awesome-chatgpt-prompts-zh;58570;1180;33;0;429;Unknown;60.82%
rails/rails;58347;6538;25884;160;1;Ruby;97.25%
FiloSottile/mkcert;58267;2811;52;14;570;Go;68.86%
FFmpeg/FFmpeg;57614;5440;0;0;0;C;0.00%
sharkdp/bat;57538;2876;1577;43;1;Rust;80.13%
usememos/memos;57525;1548;1917;86;1;Go;99.58%
h5bp/html5-boilerplate;57396;5884;804;34;5;JavaScript;99.63%
FuelLabs/fuel-core;57338;2016;1617;125;0;Rust;86.31%
withastro/astro;57308;1816;8248;1000;0;TypeScript;96.87%
pmndrs/zustand;57258;2523;888;101;3;TypeScript;99.71%
scutan90/DeepLearning-500-questions;57181;2809;302;0;618;JavaScript;42.19%
zylon-ai/private-gpt;57155;1039;226;10;8;Python;78.65%
ultralytics/yolov5;56938;2118;2239;10;13;Python;99.59%
soimort/you-get;56765;4945;582;123;312;Python;0.00%
pocketbase/pocketbase;56576;1340;55;246;0;Go;98.77%
dani-garcia/vaultwarden;56388;2938;1080;78;2;Rust;99.57%
remix-run/react-router;56283;4311;3414;326;1;TypeScript;98.63%
pathwaycom/llm-app;56199;961;49;0;58;Jupyter Notebook;72.22%
meilisearch/meilisearch;56199;2874;2339;299;0;Rust;90.56%
ageitgey/face_recognition;56177;3289;94;2;562;Python;43.40%
rust-unofficial/awesome-rust;56008;4250;1697;0;0;Rust;93.01%
pi-hole/pi-hole;55994;4288;2171;123;3;Shell;99.01%
gatsbyjs/gatsby;55946;3941;18253;158;0;JavaScript;98.47%
rclone/rclone;55874;4372;2310;121;0;Go;84.35%
azl397985856/leetcode;55820;2898;257;40;233;JavaScript;96.88%
Mintplex-Labs/anything-llm;55729;1006;1304;25;0;JavaScript;91.44%
Textualize/rich;55698;2307;860;175;8;Python;85.42%
opendatalab/MinerU;55610;736;1319;143;0;Python;90.97%
wasabeef/awesome-android-ui;55569;4090;90;0;608;Unknown;81.74%
RVC-Boss/GPT-SoVITS;55546;781;355;4;25;Python;61.35%
tiimgreen/github-cheat-sheet;55514;4345;129;0;689;Unknown;65.33%
golang-standards/project-layout;55505;3099;94;0;84;Makefile;38.26%
microsoft/autogen;55238;931;2534;98;1;Python;84.83%
AntonOsika/gpt-engineer;55216;1042;351;21;296;Python;93.81%
Z4nzu/hackingtool;55172;2155;57;0;143;Python;82.14%
FoundationAgents/OpenManus;55059;365;115;3;23;Python;52.50%
docling-project/docling;55056;605;746;156;0;Python;50.55%
appwrite/appwrite;55030;2523;4448;120;0;TypeScript;87.35%
deepfakes/faceswap;55017;2999;363;5;3;Python;99.78%
starship/starship;54559;2530;3060;138;0;Rust;70.48%
lencx/ChatGPT;54376;1185;123;34;553;Rust;29.37%
marktext/marktext;54237;3035;944;36;2;JavaScript;55.10%
ElemeFE/element;54207;3471;3231;145;563;Vue;85.22%
karpathy/nanoGPT;54204;1164;45;0;113;Python;32.29%
go-gitea/gitea;54134;3412;18525;224;0;Go;83.03%
maybe-finance/maybe;54051;794;1073;28;224;Ruby;0.00%
ultralytics/ultralytics;54004;1271;4246;349;0;Python;98.95%
psf/requests;53860;5499;1619;14;0;Python;95.54%
necolas/normalize.css;53755;5420;56;0;631;CSS;90.91%
laurent22/joplin;53750;3335;5231;400;0;TypeScript;92.48%
facebookresearch/segment-anything;53581;1078;16;0;533;Jupyter Notebook;25.38%
wagoodman/dive;53491;2853;164;28;80;Go;54.96%
unslothai/unsloth;53430;827;775;23;2;Python;70.92%
romkatv/powerlevel10k;53213;2566;168;33;36;Shell;95.55%
microsoft/ai-agents-for-beginners;53185;463;317;0;0;Jupyter Notebook;100.00%
vuejs/core;53154;2824;3640;268;0;TypeScript;89.10%
ngosang/trackerslist;53100;3603;1;0;0;Unknown;98.43%
google/material-design-icons;52949;4166;50;16;0;Unknown;75.26%
mozilla/pdf.js;52930;5428;8473;83;0;JavaScript;95.86%
firstcontributions/first-contributions;52861;3454;94680;0;0;Unknown;97.29%
WerWolv/ImHex;52795;1942;725;82;2;C++;80.46%
Zie619/n8n-workflows;52552;296;34;1;22;Python;81.63%
JetBrains/kotlin;52427;5134;2136;284;0;Kotlin;0.00%
ionic-team/ionic-framework;52386;4580;6521;930;0;TypeScript;97.32%
cloudcommunity/Free-Certifications;52338;2044;115;0;227;Unknown;29.23%
sickcodes/Docker-OSX;52231;2101;109;0;115;Shell;42.14%
TryGhost/Ghost;51974;4689;15695;954;0;JavaScript;99.09%
typst/typst;51823;2354;2234;27;0;Rust;72.90%
2dust/v2rayNG;51752;2487;541;282;3;Kotlin;99.81%
PowerShell/PowerShell;51749;3704;8063;193;0;C#;91.11%
prettier/prettier;51732;3383;9665;134;0;JavaScript;83.29%
etcd-io/etcd;51617;4625;10228;272;0;Go;98.39%
termux/termux-app;51551;3787;177;95;7;Java;85.69%
xai-org/grok-1;51533;719;5;0;553;Python;0.00%
google/guava;51484;4298;1195;57;1;Java;83.01%
vsouza/awesome-ios;51465;4256;2240;0;157;Swift;99.19%
jekyll/jekyll;51426;6346;3197;112;6;Ruby;97.42%
coollabsio/coolify;51423;1865;2305;665;0;PHP;83.21%
Semantic-Org/Semantic-UI;51139;4714;356;154;463;JavaScript;84.51%
chinese-poetry/chinese-poetry;51029;3472;137;1;338;JavaScript;43.19%
DefinitelyTyped/DefinitelyTyped;51015;4899;52962;1;0;TypeScript;93.02%
agalwood/Motrix;50987;2635;192;21;603;JavaScript;44.09%
ethereum/go-ethereum;50893;4453;8781;228;0;Go;97.83%
justjavac/awesome-wechat-weapp;50580;3451;278;0;107;Unknown;0.00%
charlax/professional-programming;50480;3772;43;0;1;Python;100.00%
poteto/hiring-without-whiteboards;50470;3278;1309;0;7;JavaScript;0.00%
FlowiseAI/Flowise;50436;1071;1571;80;0;TypeScript;74.59%
dockur/windows;50239;782;518;119;0;Shell;89.82%
jgthms/bulma;50058;3694;646;22;4;CSS;87.60%
harry0703/MoneyPrinterTurbo;50016;725;145;9;82;Python;64.72%
jesseduffield/lazydocker;49993;2484;191;45;48;Go;51.39%
Avik-Jain/100-Days-Of-ML-Code;49766;2801;6;0;798;Unknown;0.00%
mastodon/mastodon;49710;3664;19161;327;0;Ruby;67.08%
cypress-io/cypress;49597;4020;8075;387;0;TypeScript;92.17%
NARKOZ/hacker-scripts;49432;3757;63;0;864;JavaScript;65.38%
odoo/odoo;49338;4314;6182;0;0;Python;81.06%
lyswhut/lx-music-desktop;49165;2396;88;112;18;TypeScript;54.14%
dkhamsing/open-source-ios-apps;49119;4056;1544;37;0;Unknown;100.00%
AlistGo/alist;49113;1898;905;143;0;Go;87.91%
jellyfin/jellyfin;49094;2644;5176;102;0;C#;92.27%
nlohmann/json;49038;4628;1007;45;1;C++;98.48%
dbeaver/dbeaver;48966;3789;6729;243;0;Java;84.18%
mem0ai/mem0;48895;990;1819;273;2;Python;67.10%
huginn/huginn;48818;4744;1056;1;10;Ruby;72.33%
TanStack/query;48711;2368;3200;1000;0;TypeScript;96.92%
ChrisTitusTech/winutil;48628;1408;1069;34;0;PowerShell;99.72%
iamkun/dayjs;48581;2887;715;125;3;JavaScript;47.51%
JuliaLang/julia;48536;5433;26888;195;0;Julia;85.12%
ReactiveX/RxJava;48490;4804;3377;243;0;Java;99.56%
algorithm-visualizer/algorithm-visualizer;48370;3582;183;0;635;JavaScript;61.79%
sansan0/TrendRadar;48122;312;1;0;5;Python;92.95%
pandas-dev/pandas;48068;5673;27967;118;0;Python;87.79%
moment/moment;48055;5484;714;0;568;JavaScript;93.98%
upstash/context7;47924;344;267;50;0;TypeScript;90.82%
hashicorp/terraform;47889;4375;13207;403;0;Go;91.81%
x64dbg/x64dbg;47832;3981;774;4;9;C++;78.56%
lllyasviel/Fooocus;47810;939;448;21;94;Python;86.42%
type-challenges/type-challenges;47777;2052;600;0;5;TypeScript;10.79%
expo/expo;47738;3489;20643;0;0;TypeScript;98.17%
serhii-londar/open-source-mac-os-apps;47711;3045;614;0;11;Unknown;95.89%
kelseyhightower/kubernetes-the-hard-way;47653;3529;73;0;330;Unknown;94.98%
kamranahmedse/design-patterns-for-humans;47606;3304;50;0;459;Unknown;90.38%
minimaxir/big-list-of-naughty-strings;47605;3862;89;0;687;Python;31.68%
bigskysoftware/htmx;47557;2152;1049;27;1;JavaScript;63.91%
gogs/gogs;47549;4405;1869;96;1;Go;82.21%
skylot/jadx;47531;4735;621;34;1;Java;79.76%
